LotFrontage,LotArea,OverallQuality,OverallConditions,YearBuilt,YearRemodel,MasonryVeneerArea,ExteriorQuality,BasementQuality,BasementCondition,BasementExposure,BasementFinishedType1Area,BsmtUnfSF,TotalBsmtSF,HeatingQC,CentralAir,1stFlrSF,2ndFlrSF,AboveGroundLivingArea,BasementFullBathrooms,FullBathrooms,HalfBathrooms,BedroomAbvGr,KitchenAbvGr,KitchenQuality,TotalRoomsAboveGround,Fireplaces,FireplaceQuality,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQuality,GarageCondition,PavedDrive,WoodDeckSF,PoolArea,PoolQuality,SalePrice,TotalUsedArea,NonbuiltArea,IsDuplex,RemodelAge,FireplacesLivingAreaRatio,BedroomsBathroomsRatio,HouseAge,PercentFrontage,ImpactView,RoomsMeanSize,RegularRooms,GarageAreaPerCars,GarageAreaQuality,BasementAreaQuality,LivingAreaQuality,DwellingType,ZoneType,Street,Alley,LotShape,Flatness,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BuildingType,HouseStyle,RoofStyle,RoofMaterial,Exterior1st,Exterior2nd,MasonryVeneerType,Foundation,BasementFinishedType1,BasementFinishedType2,Heating,Electrical,Functional,GarageType,Fence,MiscFeature,SaleType,SaleCondition
80,11622,5,6,1961,1961,0,2,3,3,1,468,270,882,2,1,896,0,896,0,1,0,2,1,2,5,0,0,1961,1,1,730,3,3,2,140,0,0,,2508,9996,0,49,0.0,2.0,49,0.006883496816382722,0.041300980898296334,179.2,2,730.0,2190,2646,4480,1-STORY 1946 & NEWER ALL STYLES,Residential High Density,Paved,Not Alley Access,Regular,Near Flat/Level,All public Utilities,Inside,Gentle,NAmes,Feedr,Norm,Single-family Detached,1Story,Gable,Two-family Conversion,Vinyl Siding,Vinyl Siding,NA,Cinder Block,Average Rec Room,Low Quality,GasA,SBrkr,Typ,Attchd,Minimum Privacy,None,WD,Normal Sale
81,14267,6,6,1958,1958,108,2,3,3,1,923,406,1329,2,1,1329,0,1329,0,1,1,3,1,3,6,0,0,1958,1,1,312,3,3,2,393,0,0,,2970,12626,0,52,0.0,1.5,52,0.005677437443050396,0.03406462465830238,221.5,2,312.0,936,3987,7974,1-STORY 1946 & NEWER ALL STYLES,Residential Low Density,Paved,Not Alley Access,Slightly irregular,Near Flat/Level,All public Utilities,Corner,Gentle,NAmes,Norm,Norm,Single-family Detached,1Story,Hip,Two-family Conversion,Wood Siding,Wood Siding,Brick Face,Cinder Block,Average Living Quarters,Unfinshed,GasA,SBrkr,Typ,Attchd,No Fance,2nd Garage,WD,Normal Sale
74,13830,5,5,1997,1998,0,2,4,3,1,791,137,928,3,1,928,701,1629,0,2,1,3,1,2,6,1,3,1997,3,2,482,3,3,2,212,0,0,,3039,12420,1,12,6.138735420503376E-4,1.0,13,0.005350686912509038,0.02675343456254519,271.5,2,241.0,1446,3712,8145,2-STORY 1946 & NEWER,Residential Low Density,Paved,Not Alley Access,Slightly irregular,Near Flat/Level,All public Utilities,Inside,Gentle,Gilbert,Norm,Norm,Single-family Detached,2Story,Gable,Two-family Conversion,Vinyl Siding,Vinyl Siding,NA,Poured Contrete,Good Living Quarters,Unfinshed,GasA,SBrkr,Typ,Attchd,Minimum Privacy,None,WD,Normal Sale
78,9978,6,6,1998,1998,20,2,3,3,1,602,324,926,4,1,926,678,1604,0,2,1,3,1,3,7,1,4,1998,3,2,470,3,3,2,360,0,0,,3000,8582,1,12,6.234413965087282E-4,1.0,12,0.007817197835237523,0.04690318701142514,229.14285714285714,3,235.0,1410,2778,9624,2-STORY 1946 & NEWER,Residential Low Density,Paved,Not Alley Access,Slightly irregular,Near Flat/Level,All public Utilities,Inside,Gentle,Gilbert,Norm,Norm,Single-family Detached,2Story,Gable,Two-family Conversion,Vinyl Siding,Vinyl Siding,Brick Face,Poured Contrete,Good Living Quarters,Unfinshed,GasA,SBrkr,Typ,Attchd,No Fance,None,WD,Normal Sale
43,5005,8,5,1992,1992,0,3,4,3,1,263,1017,1280,4,1,1280,0,1280,0,2,0,2,1,3,5,0,0,1992,2,2,506,3,3,2,0,0,0,,3066,3219,0,18,0.0,1.0,18,0.008591408591408592,0.04295704295704296,256.0,2,253.0,1518,5120,10240,1-STORY PUD (Planned Unit Development) - 1946 & NEWER,Residential Low Density,Paved,Not Alley Access,Slightly irregular,Hillside,All public Utilities,Inside,Gentle,StoneBr,Norm,Norm,Townhouse End Unit,1Story,Gable,Two-family Conversion,Hard Board,Hard Board,NA,Poured Contrete,Average Living Quarters,Unfinshed,GasA,SBrkr,Typ,Attchd,No Fance,None,WD,Normal Sale
75,10000,6,5,1993,1994,0,2,4,3,1,0,763,763,3,1,763,892,1655,0,2,1,3,1,2,7,1,3,1993,3,2,440,3,3,2,157,0,0,,2858,8797,1,16,6.042296072507553E-4,1.0,17,0.0075,0.0375,236.42857142857142,3,220.0,1320,3052,9930,2-STORY 1946 & NEWER,Residential Low Density,Paved,Not Alley Access,Slightly irregular,Near Flat/Level,All public Utilities,Corner,Gentle,Gilbert,Norm,Norm,Single-family Detached,2Story,Gable,Two-family Conversion,Hard Board,Hard Board,NA,Poured Contrete,Unfinshed,Unfinshed,GasA,SBrkr,Typ,Attchd,No Fance,None,WD,Normal Sale
0,7980,6,7,1992,2007,0,2,4,3,1,935,233,1168,4,1,1187,0,1187,1,2,0,3,1,2,6,0,0,1992,3,2,420,3,3,2,483,0,0,,2775,6373,0,3,0.0,1.5,18,0.0,0.0,197.83333333333334,2,210.0,1260,4672,7122,1-STORY 1946 & NEWER ALL STYLES,Residential Low Density,Paved,Not Alley Access,Slightly irregular,Near Flat/Level,All public Utilities,Inside,Gentle,Gilbert,Norm,Norm,Single-family Detached,1Story,Gable,Two-family Conversion,Hard Board,Hard Board,NA,Poured Contrete,Average Living Quarters,Unfinshed,GasA,SBrkr,Typ,Attchd,Good Privacy,Shed,WD,Normal Sale
63,8402,6,5,1998,1998,0,2,4,3,1,0,789,789,3,1,789,676,1465,0,2,1,3,1,2,7,1,4,1998,3,2,393,3,3,2,0,0,0,,2647,7220,1,12,6.825938566552901E-4,1.0,12,0.007498214710783147,0.03749107355391573,209.28571428571428,3,196.5,1179,3156,8790,2-STORY 1946 & NEWER,Residential Low Density,Paved,Not Alley Access,Slightly irregular,Near Flat/Level,All public Utilities,Inside,Gentle,Gilbert,Norm,Norm,Single-family Detached,2Story,Gable,Two-family Conversion,Vinyl Siding,Vinyl Siding,NA,Poured Contrete,Unfinshed,Unfinshed,GasA,SBrkr,Typ,Attchd,No Fance,None,WD,Normal Sale
85,10176,7,5,1990,1990,0,2,4,3,4,637,663,1300,3,1,1341,0,1341,1,1,1,2,1,3,5,1,1,1990,1,2,506,3,3,2,192,0,0,,3147,8329,0,20,7.457121551081282E-4,1.0,20,0.008352987421383648,0.04176493710691824,268.2,2,253.0,1518,5200,9387,1-STORY 1946 & NEWER ALL STYLES,Residential Low Density,Paved,Not Alley Access,Regular,Near Flat/Level,All public Utilities,Inside,Gentle,Gilbert,Norm,Norm,Single-family Detached,1Story,Gable,Two-family Conversion,Hard Board,Hard Board,NA,Poured Contrete,Good Living Quarters,Unfinshed,GasA,SBrkr,Typ,Attchd,No Fance,None,WD,Normal Sale
70,8400,4,5,1970,1970,0,2,3,3,1,804,0,882,2,1,882,0,882,1,1,0,2,1,2,4,0,0,1970,3,2,525,3,3,2,240,0,0,,2289,6993,0,40,0.0,2.0,40,0.008333333333333333,0.041666666666666664,220.5,1,262.5,1575,2646,3528,1-STORY 1946 & NEWER ALL STYLES,Residential Low Density,Paved,Not Alley Access,Regular,Near Flat/Level,All public Utilities,Corner,Gentle,NAmes,Norm,Norm,Single-family Detached,1Story,Gable,Two-family Conversion,Plywood,Plywood,NA,Cinder Block,Average Living Quarters,Average Rec Room,GasA,SBrkr,Typ,Attchd,Minimum Privacy,None,WD,Normal Sale
