DwellingType,ZoneType,LotFrontage,LotArea,Street,Alley,LotShape,Flatness,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BuildingType,HouseStyle,OverallQuality,OverallConditions,YearBuilt,YearRemodel,RoofStyle,RoofMaterial,Exterior1st,Exterior2nd,MasonryVeneerType,MasonryVeneerArea,ExteriorQuality,ExteriorCondition,Foundation,BasementQuality,BasementCondition,BasementExposure,BasementFinishedType1,BasementFinishedType1Area,BasementFinishedType2,BasementFinishedType2Area,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualityFinishedArea,AboveGroundLivingArea,BasementFullBathrooms,BasementHalfBathrooms,FullBathrooms,HalfBathrooms,BedroomAbvGr,KitchenAbvGr,KitchenQuality,TotalRoomsAboveGround,Functional,Fireplaces,FireplaceQuality,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQuality,GarageCondition,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,ThreeSeasonPorchArea,ScreenPorch,PoolArea,PoolQuality,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice,TotalUsedArea,NonbuiltArea,BuiltAreaRatio,PorchArea,IsDuplex,SoldAfterRemodel,RemodelAge,FireplacesLivingAreaRatio,BedroomsBathroomsRatio,HouseAge,PercentFrontage,ImpactView,RoomsMeanSize,RegularRooms,GarageAreaPerCars,GarageAreaQuality,BasementAreaQuality,LivingAreaQuality,LivingAreaCondition,BasementAreaCondition,GarageAreaCondition
2-STORY 1946 & NEWER,Residential Low Density,65,8450,Paved,Not Alley Access,Regular,Near Flat/Level,All public Utilities,Inside,Gentle,CollgCr,Norm,Norm,Single-family Detached,2Story,7,5,2003,2003,Gable,Two-family Conversion,Vinyl Siding,Vinyl Siding,Brick Face,196,3,2,Poured Contrete,4,3,1,Good Living Quarters,706,Unfinshed,0,150,856,GasA,4,1,SBrkr,856,854,0,1710,1,0,2,1,3,1,3,8,Typ,0,0,Attchd,2003,2,2,548,3,3,2,0,61,0,0,0,0,0,No Fance,None,0,2,2008,WD,Normal Sale,208500,3114,7046,0.20236686390532543,61,1,0,5,0.0,1.0,5,0.007692307692307693,0.038461538461538464,213.75,4,274.0,1644,3424,11970,8550,2568,1644
1-STORY 1946 & NEWER ALL STYLES,Residential Low Density,80,9600,Paved,Not Alley Access,Regular,Near Flat/Level,All public Utilities,FR2,Gentle,Veenker,Feedr,Norm,Single-family Detached,1Story,6,8,1976,1976,Gable,Two-family Conversion,Metal Siding,Metal Siding,NA,0,2,2,Cinder Block,4,3,4,Average Living Quarters,978,Unfinshed,0,284,1262,GasA,4,1,SBrkr,1262,0,0,1262,0,1,2,0,3,1,2,6,Typ,1,3,Attchd,1976,2,2,460,3,3,2,298,0,0,0,0,0,0,No Fance,None,0,5,2007,WD,Normal Sale,181500,2984,7878,0.13145833333333334,0,0,0,31,7.92393026941363E-4,1.5,31,0.008333333333333333,0.06666666666666667,210.33333333333334,2,230.0,1380,5048,7572,10096,3786,1380
2-STORY 1946 & NEWER,Residential Low Density,68,11250,Paved,Not Alley Access,Slightly irregular,Near Flat/Level,All public Utilities,Inside,Gentle,CollgCr,Norm,Norm,Single-family Detached,2Story,7,5,2001,2002,Gable,Two-family Conversion,Vinyl Siding,Vinyl Siding,Brick Face,162,3,2,Poured Contrete,4,3,2,Good Living Quarters,486,Unfinshed,0,434,920,GasA,4,1,SBrkr,920,866,0,1786,1,0,2,1,3,1,3,6,Typ,1,3,Attchd,2001,2,2,608,3,3,2,0,42,0,0,0,0,0,No Fance,None,0,9,2008,WD,Normal Sale,223500,3314,9722,0.15875555555555557,42,1,1,6,5.599104143337066E-4,1.0,7,0.006044444444444444,0.03022222222222222,297.6666666666667,2,304.0,1824,3680,12502,8930,2760,1824
2-STORY 1945 & OLDER,Residential Low Density,60,9550,Paved,Not Alley Access,Slightly irregular,Near Flat/Level,All public Utilities,Corner,Gentle,Crawfor,Norm,Norm,Single-family Detached,2Story,7,5,1915,1970,Gable,Two-family Conversion,Wood Siding,Wood Shingles,NA,0,2,2,Brick & Tile,3,4,1,Average Living Quarters,216,Unfinshed,0,540,756,GasA,3,1,SBrkr,961,756,0,1717,1,0,1,0,3,1,3,7,Typ,1,4,Detchd,1998,1,3,642,3,3,2,0,35,272,0,0,0,0,No Fance,None,0,2,2006,WD,Abnormal Sale,140000,3115,7947,0.17979057591623038,307,1,1,36,5.824111822947001E-4,3.0,91,0.0062827225130890054,0.031413612565445025,245.28571428571428,3,214.0,1926,2268,12019,8585,3024,1926
2-STORY 1946 & NEWER,Residential Low Density,84,14260,Paved,Not Alley Access,Slightly irregular,Near Flat/Level,All public Utilities,FR2,Gentle,NoRidge,Norm,Norm,Single-family Detached,2Story,8,5,2000,2000,Gable,Two-family Conversion,Vinyl Siding,Vinyl Siding,Brick Face,350,3,2,Poured Contrete,4,3,3,Good Living Quarters,655,Unfinshed,0,490,1145,GasA,4,1,SBrkr,1145,1053,0,2198,1,0,2,1,4,1,3,9,Typ,1,3,Attchd,2000,2,3,836,3,3,2,192,84,0,0,0,0,0,No Fance,None,0,12,2008,WD,Normal Sale,250000,4179,12279,0.1541374474053296,84,1,0,8,4.5495905368516835E-4,1.3333333333333333,8,0.005890603085553997,0.029453015427769985,244.22222222222223,4,278.6666666666667,2508,4580,17584,10990,3435,2508
1-1/2 STORY FINISHED ALL AGES,Residential Low Density,85,14115,Paved,Not Alley Access,Slightly irregular,Near Flat/Level,All public Utilities,Inside,Gentle,Mitchel,Norm,Norm,Single-family Detached,1.5Fin,5,5,1993,1995,Gable,Two-family Conversion,Vinyl Siding,Vinyl Siding,NA,0,2,2,Wood,4,3,1,Good Living Quarters,732,Unfinshed,0,64,796,GasA,4,1,SBrkr,796,566,0,1362,1,0,1,1,1,1,2,5,Typ,0,0,Attchd,1993,1,2,480,3,3,2,40,30,0,320,0,0,0,Minimum Privacy,Shed,700,10,2009,WD,Normal Sale,143000,2638,12839,0.09649309245483528,350,1,1,14,0.0,0.5,16,0.0060219624512929506,0.030109812256464752,272.4,3,240.0,1440,3184,6810,6810,2388,1440
1-STORY 1946 & NEWER ALL STYLES,Residential Low Density,75,10084,Paved,Not Alley Access,Regular,Near Flat/Level,All public Utilities,Inside,Gentle,Somerst,Norm,Norm,Single-family Detached,1Story,8,5,2004,2005,Gable,Two-family Conversion,Vinyl Siding,Vinyl Siding,Stone,186,3,2,Poured Contrete,5,3,3,Good Living Quarters,1369,Unfinshed,0,317,1686,GasA,4,1,SBrkr,1694,0,0,1694,1,0,2,0,3,1,3,7,Typ,1,4,Attchd,2004,2,2,636,3,3,2,255,57,0,0,0,0,0,No Fance,None,0,8,2007,WD,Normal Sale,307000,4016,7754,0.16798889329631098,57,0,1,2,5.903187721369539E-4,1.5,3,0.007437524791749306,0.03718762395874653,242.0,3,318.0,1908,8430,13552,8470,5058,1908
2-STORY 1946 & NEWER,Residential Low Density,0,10382,Paved,Not Alley Access,Slightly irregular,Near Flat/Level,All public Utilities,Corner,Gentle,NWAmes,PosN,Norm,Single-family Detached,2Story,7,6,1973,1973,Gable,Two-family Conversion,Hard Board,Hard Board,Stone,240,2,2,Cinder Block,4,3,2,Average Living Quarters,859,Below Average Living Quarters,32,216,1107,GasA,4,1,SBrkr,1107,983,0,2090,1,0,2,1,3,1,2,7,Typ,2,3,Attchd,1973,2,2,484,3,3,2,235,204,228,0,0,0,0,No Fance,Shed,350,11,2009,WD,Normal Sale,200000,3681,8791,0.20130995954536698,432,1,0,36,9.569377990430622E-4,1.0,36,0.0,0.0,298.57142857142856,3,242.0,1452,4428,14630,12540,3321,1452
1-1/2 STORY FINISHED ALL AGES,Residential Medium Density,51,6120,Paved,Not Alley Access,Regular,Near Flat/Level,All public Utilities,Inside,Gentle,OldTown,Artery,Norm,Single-family Detached,1.5Fin,7,5,1931,1950,Gable,Two-family Conversion,Brick Face,Wood Shingles,NA,0,2,2,Brick & Tile,3,3,1,Unfinshed,0,Unfinshed,0,952,952,GasA,3,1,FuseF,1022,752,0,1774,0,0,2,0,2,2,2,8,Min1,2,3,Detchd,1931,1,2,468,2,3,2,90,0,205,0,0,0,0,No Fance,None,0,4,2008,WD,Abnormal Sale,129900,3194,4630,0.28986928104575166,205,1,1,58,0.0011273957158962795,1.0,77,0.008333333333333333,0.041666666666666664,221.75,4,234.0,936,2856,12418,8870,2856,1404
2 FAMILY CONVERSION - ALL STYLES AND AGES,Residential Low Density,50,7420,Paved,Not Alley Access,Regular,Near Flat/Level,All public Utilities,Corner,Gentle,BrkSide,Artery,Artery,Two-family Conversion,1.5Unf,5,6,1939,1950,Gable,Two-family Conversion,Metal Siding,Metal Siding,NA,0,2,2,Brick & Tile,3,3,1,Good Living Quarters,851,Unfinshed,0,140,991,GasA,4,1,SBrkr,1077,0,0,1077,1,0,1,0,2,2,2,5,Typ,2,3,Attchd,1939,2,1,205,4,3,2,0,4,0,0,0,0,0,No Fance,None,0,1,2008,WD,Normal Sale,118000,2273,6138,0.14514824797843665,4,0,1,58,0.0018570102135561746,2.0,69,0.006738544474393531,0.04043126684636119,215.4,1,205.0,820,2973,5385,6462,2973,615
